Speaker_1	Speaker_2	Personality	Utterance_1	Utterance_2	Utterance_3	Emotion_1	Emotion_2	Emotion_3	Sentiment_1	Sentiment_2	Sentiment_3
Ross	Rachel	[0.722, 0.489, 0.6, 0.533, 0.356]	Hi!	What are you doing here?	Ah y'know, this building is on my paper route so I...	joy	surprise	neutral	positive	positive	neutral
Rachel	Ross	[0.635, 0.354, 0.521, 0.552, 0.469]	What are you doing here?	Ah y'know, this building is on my paper route so I...	Oh.	surprise	neutral	neutral	positive	neutral	neutral
Ross	Rachel	[0.722, 0.489, 0.6, 0.533, 0.356]	Ah y'know, this building is on my paper route so I...	Oh.	Hi.	neutral	neutral	neutral	neutral	neutral	neutral
Rachel	Ross	[0.635, 0.354, 0.521, 0.552, 0.469]	Oh.	Hi.	Hi.	neutral	neutral	neutral	neutral	neutral	neutral
Ross	Rachel	[0.722, 0.489, 0.6, 0.533, 0.356]	Hi.	Hi.	How d did it go?	neutral	neutral	neutral	neutral	neutral	neutral
Rachel	Ross	[0.635, 0.354, 0.521, 0.552, 0.469]	Hi.	How d did it go?	Oh well, the woman I interviewed with was pretty tough, but y'know thank God Mark coached me, because once I started talking about the fall line, she got all happy and wouldn t shut up.	neutral	neutral	joy	neutral	neutral	positive
Ross	Rachel	[0.722, 0.489, 0.6, 0.533, 0.356]	How d did it go?	Oh well, the woman I interviewed with was pretty tough, but y'know thank God Mark coached me, because once I started talking about the fall line, she got all happy and wouldn t shut up.	I m so proud of you.	neutral	joy	joy	neutral	positive	positive
Rachel	Ross	[0.635, 0.354, 0.521, 0.552, 0.469]	Oh well, the woman I interviewed with was pretty tough, but y'know thank God Mark coached me, because once I started talking about the fall line, she got all happy and wouldn t shut up.	I m so proud of you.	Me too!	joy	joy	joy	positive	positive	positive
Ross	Rachel	[0.722, 0.489, 0.6, 0.533, 0.356]	I m so proud of you.	Me too!	Listen, I m ah, I m sorry I ve been so crazy and jealous and, it s just that I like you a lot, so...	joy	joy	sadness	positive	positive	negative
Rachel	Ross	[0.635, 0.354, 0.521, 0.552, 0.469]	Me too!	Listen, I m ah, I m sorry I ve been so crazy and jealous and, it s just that I like you a lot, so...	I know.	joy	sadness	neutral	positive	negative	neutral
Ross	Rachel	[0.722, 0.489, 0.6, 0.533, 0.356]	Listen, I m ah, I m sorry I ve been so crazy and jealous and, it s just that I like you a lot, so...	I know.	Yeah.	sadness	neutral	neutral	negative	neutral	neutral
Rachel	Ross	[0.635, 0.354, 0.521, 0.552, 0.469]	I know.	Yeah.	Yeah.	neutral	neutral	neutral	neutral	neutral	neutral
Phoebe	Joey	[0.6, 0.48, 0.31, 0.46, 0.56]	Ameri-can.	Ameri-ccan.	Ameri-can. Y'know it s a	neutral	neutral	neutral	neutral	neutral	neutral
Chandler	Joey	[0.648, 0.375, 0.386, 0.58, 0.477]	Good job Joe! Well done! Top notch!	You liked it? You really liked it?	Oh-ho-ho, yeah!	joy	surprise	joy	positive	positive	positive
Joey	Chandler	[0.574, 0.614, 0.297, 0.545, 0.455]	You liked it? You really liked it?	Oh-ho-ho, yeah!	Which part exactly?	surprise	joy	neutral	positive	positive	neutral
Chandler	Joey	[0.648, 0.375, 0.386, 0.58, 0.477]	Oh-ho-ho, yeah!	Which part exactly?	The whole thing! Can we go?	joy	neutral	neutral	positive	neutral	neutral
Joey	Chandler	[0.574, 0.614, 0.297, 0.545, 0.455]	Which part exactly?	The whole thing! Can we go?	Oh no-no-no, give me some specifics.	neutral	neutral	anger	neutral	neutral	negative
Chandler	Joey	[0.648, 0.375, 0.386, 0.58, 0.477]	The whole thing! Can we go?	Oh no-no-no, give me some specifics.	I love the specifics, the specifics were the best part!	neutral	anger	joy	neutral	negative	positive
Joey	Chandler	[0.574, 0.614, 0.297, 0.545, 0.455]	Oh no-no-no, give me some specifics.	I love the specifics, the specifics were the best part!	Hey, what about the scene with the kangaroo? Did-did you like that part?	anger	joy	neutral	negative	positive	neutral
Chandler	Joey	[0.648, 0.375, 0.386, 0.58, 0.477]	I love the specifics, the specifics were the best part!	Hey, what about the scene with the kangaroo? Did-did you like that part?	I was surprised to see a kangaroo in a World War I epic.	joy	neutral	surprise	positive	neutral	positive
Joey	Chandler	[0.574, 0.614, 0.297, 0.545, 0.455]	Hey, what about the scene with the kangaroo? Did-did you like that part?	I was surprised to see a kangaroo in a World War I epic.	You fell asleep!!	neutral	surprise	anger	neutral	positive	negative
Chandler	Customer	[0.648, 0.375, 0.386, 0.58, 0.477]	Okay, that s enough honey!	I don t know.  Let me see the ring.	Great! Okay, here.	neutral	neutral	joy	neutral	neutral	positive
Chandler	Customer	[0.648, 0.375, 0.386, 0.58, 0.477]	Great! Okay, here.	All right.	Thank you. Thank you. Thank you!  And	joy	neutral	joy	positive	neutral	positive
Chandler	Ross	[0.648, 0.375, 0.386, 0.58, 0.477]	Can you hold on a moment? I have another call.  I love her.	I know.	I'm back.	joy	neutral	neutral	positive	neutral	neutral
Chandler	Jade	[0.648, 0.375, 0.386, 0.58, 0.477]	I'm back.	So, are we gonna get together or what?	Um, absolutely. Uh, how 'bout tomorrow afternoon? Do you know uh, Central Perk in the Village, say, five-ish?	neutral	neutral	neutral	neutral	neutral	neutral
Chandler	Jade	[0.648, 0.375, 0.386, 0.58, 0.477]	Um, absolutely. Uh, how 'bout tomorrow afternoon? Do you know uh, Central Perk in the Village, say, five-ish?	Great, I'll see you then.	Ok.  Ok. Having a phone has finally paid off.	neutral	neutral	joy	neutral	neutral	positive
Chandler	Ross	[0.648, 0.375, 0.386, 0.58, 0.477]	Ok.  Ok. Having a phone has finally paid off.	"Even though you do do a good Bob impression, I'm thinkin' when she sees you tomorow, she's probably gonna realize, ""Hey, you're not Bob."""	I'm hoping that when Bob doesn't show up, she will seek comfort in the open arms of the wry stranger at the next table.	joy	neutral	neutral	positive	neutral	neutral
Ross	Chandler	[0.722, 0.489, 0.6, 0.533, 0.356]	"Even though you do do a good Bob impression, I'm thinkin' when she sees you tomorow, she's probably gonna realize, ""Hey, you're not Bob."""	I'm hoping that when Bob doesn't show up, she will seek comfort in the open arms of the wry stranger at the next table.	Oh my god. You are pure evil.	neutral	neutral	disgust	neutral	neutral	negative
Chandler	Ross	[0.648, 0.375, 0.386, 0.58, 0.477]	I'm hoping that when Bob doesn't show up, she will seek comfort in the open arms of the wry stranger at the next table.	Oh my god. You are pure evil.	Ok, pure evil , horny and alone . I've done this	neutral	disgust	anger	neutral	negative	negative
Ross	Monica	[0.722, 0.489, 0.6, 0.533, 0.356]	This is my wedding.	All right, y know what? We really are late! Let s go! Let s go! Let s go!!	Fine. You ll-you ll watch it on video when we get back.	neutral	anger	neutral	neutral	negative	neutral
Chandler	Joey	[0.648, 0.375, 0.386, 0.58, 0.477]	Hey!	Hey! So Estelle lined up a bunch of auditions for me tomorrow and I ll have my health insurance back in no time.	That s great, but shouldn t you be on the toilet right now?	neutral	joy	disgust	neutral	positive	negative
Joey	Chandler	[0.574, 0.614, 0.297, 0.545, 0.455]	Hey! So Estelle lined up a bunch of auditions for me tomorrow and I ll have my health insurance back in no time.	That s great, but shouldn t you be on the toilet right now?	What?!	joy	disgust	surprise	positive	negative	positive
Chandler	Joey	[0.648, 0.375, 0.386, 0.58, 0.477]	That s great, but shouldn t you be on the toilet right now?	What?!	What s wrong with you?	disgust	surprise	disgust	negative	positive	negative
Joey	Chandler	[0.574, 0.614, 0.297, 0.545, 0.455]	What?!	What s wrong with you?	Nothing!	surprise	disgust	neutral	positive	negative	neutral
Joey	Chandler	[0.574, 0.614, 0.297, 0.545, 0.455]	But um, I don t think it s anything serious.	This sounds like a hernia. You have to you-you go to the doctor!	No way!  Kay look, if I have to go to the doctor for anything it s gonna be for this thing sticking out of my stomach!	neutral	surprise	fear	neutral	positive	negative
Chandler	Joey	[0.648, 0.375, 0.386, 0.58, 0.477]	This sounds like a hernia. You have to you-you go to the doctor!	No way!  Kay look, if I have to go to the doctor for anything it s gonna be for this thing sticking out of my stomach!	That s a hernia.	surprise	fear	disgust	positive	negative	negative
Joey	Chandler	[0.574, 0.614, 0.297, 0.545, 0.455]	No way!  Kay look, if I have to go to the doctor for anything it s gonna be for this thing sticking out of my stomach!	That s a hernia.	Why did I have to start working out again?  Damn you 15s!	fear	disgust	anger	negative	negative	negative
Ross	Mona	[0.722, 0.489, 0.6, 0.533, 0.356]	Uh that s an eighteenth century Indian artifact from Calcutta.	Oh wow! So, you re more than just dinosaurs.	So much more.	neutral	surprise	neutral	neutral	positive	neutral
Ross	Mona	[0.722, 0.489, 0.6, 0.533, 0.356]	Well, well to sum up, we re having fun, you look young.	Okay	But that s not enough. So  So here s a key to my apartment.	neutral	neutral	neutral	neutral	neutral	neutral
Ross	Mona	[0.722, 0.489, 0.6, 0.533, 0.356]	But that s not enough. So  So here s a key to my apartment.	Really?!	Really.	neutral	surprise	neutral	neutral	positive	neutral
Ross	Charlie	[0.722, 0.489, 0.6, 0.533, 0.356]	Get Out!	Ross, can I talk to you for a minute?	Yes, please!  So, what's going on?	anger	neutral	neutral	negative	neutral	neutral
Ross	Charlie	[0.722, 0.489, 0.6, 0.533, 0.356]	Yes, please!  So, what's going on?	Uh, well... Joey and I broke up.	Oh my God, wh-what happened?	neutral	sadness	surprise	neutral	negative	positive
Ross	Charlie	[0.722, 0.489, 0.6, 0.533, 0.356]	Oh my God, wh-what happened?	Joey is a great guy, but we're just... so different! I mean, during your speech he kept laughing at homo erectus!	I knew that was him!	surprise	sadness	anger	positive	negative	negative
Ross	Charlie	[0.722, 0.489, 0.6, 0.533, 0.356]	I knew that was him!	Anyway I just, uh, I think it's for the best.	Hey, you ok?	anger	sadness	neutral	negative	negative	neutral
Phoebe	Monica	[0.6, 0.48, 0.31, 0.46, 0.56]	Oy!!	What s with all this sand?	Oh, yeah, Bob said there might be flood damage.	disgust	surprise	neutral	negative	positive	neutral
Monica	Rachel	[0.713, 0.457, 0.457, 0.66, 0.511]	Rach? What are you doing?	Oh boy, I just can't watch. It's too scary!	It's a diaper commercial.	neutral	fear	neutral	neutral	negative	neutral
Rachel	Monica	[0.635, 0.354, 0.521, 0.552, 0.469]	Oh boy, I just can't watch. It's too scary!	It's a diaper commercial.	Oh yeah well, you know me, babies, responsibilities, ahhh!!!	fear	neutral	fear	negative	neutral	negative
Ross	Caitlin	[0.722, 0.489, 0.6, 0.533, 0.356]	I'll get it! I will get that!	Hi!	Hi!	joy	joy	joy	positive	positive	positive
Ross	Joey	[0.722, 0.489, 0.6, 0.533, 0.356]	Hey, you wanna get something to eat or uh, do you wanna see how long we can throw this ball back and forth? Huh?	Uhh, the ball thing.	Yeah?	neutral	neutral	neutral	neutral	neutral	neutral
Joey	Ross	[0.574, 0.614, 0.297, 0.545, 0.455]	Uhh, the ball thing.	Yeah?	Hey Ross, wouldn't it be great if we could go two straight hours without dropping it?!	neutral	neutral	joy	neutral	neutral	positive
Ross	Joey	[0.722, 0.489, 0.6, 0.533, 0.356]	Yeah?	Hey Ross, wouldn't it be great if we could go two straight hours without dropping it?!	Uhh,	neutral	joy	neutral	neutral	positive	neutral
Joey	Ross	[0.574, 0.614, 0.297, 0.545, 0.455]	Hey Ross, wouldn't it be great if we could go two straight hours without dropping it?!	Uhh,	Okay!	joy	neutral	joy	positive	neutral	positive
Joey	Ross	[0.574, 0.614, 0.297, 0.545, 0.455]	Uh-oh.	What?	I have to pee. And Rachel's in the bathroom!	fear	neutral	sadness	negative	neutral	negative
Joey	Phoebe	[0.574, 0.614, 0.297, 0.545, 0.455]	Oh, unbelievable! We had the best time!	Yay!! Oh so, you re not, you re not mad at us anymore?	No!	joy	joy	joy	positive	positive	positive
Joey	Phoebe	[0.574, 0.614, 0.297, 0.545, 0.455]	That was so awkward, we were really nervous.	Didn t you sleep together?	Yeah, that really calms me down.	neutral	neutral	neutral	neutral	neutral	neutral
Joey	Rachel	[0.574, 0.614, 0.297, 0.545, 0.455]	She loves sandwiches, sports, although she is a Met fan, not much of an issue now but if we were ever to have kids, well that s a	Oh my God! Listen to you talkin  about having kids. Oh my Joey.  Oh, please don t get married before I do.	Okay.	joy	surprise	neutral	positive	positive	neutral
Monica	Ross	[0.713, 0.457, 0.457, 0.66, 0.511]	How does she do that?	I cannot sleep in a public place.	Would you look at her? She is so peaceful.	surprise	neutral	joy	positive	neutral	positive
Phoebe	Ross	[0.6, 0.48, 0.31, 0.46, 0.56]	I got no sleep last night!	Why?	My grandmother has this new boyfriend, and they're both kind of insecure in bed.	anger	neutral	disgust	negative	neutral	negative
Phoebe	Monica	[0.6, 0.48, 0.31, 0.46, 0.56]	You have no idea how loud they are!	Well, if you want, you can stay with Rachel and me tonight.	Thanks.	disgust	neutral	joy	negative	neutral	positive
Joey	Nurse	[0.574, 0.614, 0.297, 0.545, 0.455]	Ew! What is that? Something exploded!	It's just her water breaking. Calm down, will you?	Water breaking, what do you mean? What's that, water breaking?	disgust	neutral	surprise	negative	neutral	positive
Rachel	Ross	[0.635, 0.354, 0.521, 0.552, 0.469]	You guys would never want to go to a lecture with me.	Pa-haa!! I would love to go with you.	Really!?	neutral	joy	surprise	neutral	positive	positive
Ross	Rachel	[0.722, 0.489, 0.6, 0.533, 0.356]	Pa-haa!! I would love to go with you.	Really!?	Yeah, hey I-I have clothes, I even pick them out.	joy	surprise	neutral	positive	positive	neutral
Ross	Rachel	[0.722, 0.489, 0.6, 0.533, 0.356]	I mean for, for all you know I could be a fashion..... monger.	Okay. Honey, I would love for you to go with me.  What?	What should I wear, now I m all nervous.	neutral	joy	fear	neutral	positive	negative
Joey	Mr. Treeger	[0.574, 0.614, 0.297, 0.545, 0.455]	I know, it was amazing! I mean, we totally nailed it, it was beautiful.	: Thank you, listen, thanks a lot Tribbiani, . Oh my God, look at the time, I gotta catch the bus to the ball.	Oh well, okay, good luck.	joy	joy	joy	positive	positive	positive
Joey	Mr. Treeger	[0.574, 0.614, 0.297, 0.545, 0.455]	Oh well, okay, good luck.	: Yeah.	Unless you wanna practice the Foxtrot again? Or-or the Tango?	joy	neutral	neutral	positive	neutral	neutral
Joey	Mr. Treeger	[0.574, 0.614, 0.297, 0.545, 0.455]	Unless you wanna practice the Foxtrot again? Or-or the Tango?	: Ahh, thanks but no. You see I-I think I m ready to dance with girls.	Okay.	neutral	neutral	neutral	neutral	neutral	neutral
Joey	Mr. Treeger	[0.574, 0.614, 0.297, 0.545, 0.455]	Okay.	: Yeah.	Go get  em Treeger.	neutral	neutral	neutral	neutral	neutral	neutral
Joey	Mr. Treeger	[0.574, 0.614, 0.297, 0.545, 0.455]	Go get  em Treeger.	: Right.  Hey, ahh, you wanna come? Marge has a girlfriend.	Really?	neutral	neutral	surprise	neutral	neutral	positive
Joey	Mr. Treeger	[0.574, 0.614, 0.297, 0.545, 0.455]	Really?	: Yeah, you could dance real good with her, she s the same size as me.	No, I m good.	surprise	neutral	neutral	positive	neutral	neutral
Joey	Carol	[0.574, 0.614, 0.297, 0.545, 0.455]	Well, unfortunately, I don't get many callbacks so	Is it a good sign that they asked us to hang around after the audition?	Who knows?	neutral	surprise	neutral	neutral	positive	neutral
Ross	Joey	[0.722, 0.489, 0.6, 0.533, 0.356]	Yes!! I knew it!!  Bye-bye! So long! Later!	Oh this is great! I might actually get to play Ben's dad!	Yeah!	joy	joy	joy	positive	positive	positive
Ross	Emily	[0.722, 0.489, 0.6, 0.533, 0.356]	And it s all because of you, wonderful, amazing you.	I think you ve got concussion.	No, no, I m serious. Thank you.	joy	fear	joy	positive	negative	positive
Ross	Emily	[0.722, 0.489, 0.6, 0.533, 0.356]	No, no, I m serious. Thank you.	You re welcome.  I m sorry. Did I hurt you?	It s worth the pain.  Y know what, you know what? It s not.	joy	fear	sadness	positive	negative	negative
Monica	Chandler	[0.713, 0.457, 0.457, 0.66, 0.511]	Wow! That Mike thing was interesting! I don't know what's gonna happen with Phoebe and David.	"I do! Want a hint? huh? ""I do""  ""I do""."	Ok, I'm sensing that this is some kind of word play, because you are pink with barely controlled glee.	surprise	joy	neutral	positive	positive	neutral
Chandler	Monica	[0.648, 0.375, 0.386, 0.58, 0.477]	"I do! Want a hint? huh? ""I do""  ""I do""."	Ok, I'm sensing that this is some kind of word play, because you are pink with barely controlled glee.	David is going to propose to Phoebe.	joy	neutral	joy	positive	neutral	positive
Monica	Chandler	[0.713, 0.457, 0.457, 0.66, 0.511]	Ok, I'm sensing that this is some kind of word play, because you are pink with barely controlled glee.	David is going to propose to Phoebe.	What?  Why?	neutral	joy	surprise	neutral	positive	positive
Monica	Chandler	[0.713, 0.457, 0.457, 0.66, 0.511]	Now couldn't you just have made some sort of inappropriate joke?	I	They've only been going out for a few weeks and Phoebe is completely hung up on Mike!	anger	neutral	anger	negative	neutral	negative
Ross	Paul	[0.722, 0.489, 0.6, 0.533, 0.356]	It-it s great to meet you Paul.	I usually prefer Elizabeth s boyfriends to address me as Mr. Stevens.	Of course, of course, Mr. Stevens.	joy	neutral	neutral	positive	neutral	neutral
Ross	Paul	[0.722, 0.489, 0.6, 0.533, 0.356]	Of course, of course, Mr. Stevens.	So Ross, what your problem?	Eh-wh Excuse me?	neutral	anger	surprise	neutral	negative	positive
Ross	Paul	[0.722, 0.489, 0.6, 0.533, 0.356]	Eh-wh Excuse me?	Why can t you get a girlfriend your own age?	That s funny. Umm .  It s not funny.	surprise	anger	fear	positive	negative	negative
Ross	Paul	[0.722, 0.489, 0.6, 0.533, 0.356]	That s funny. Umm .  It s not funny.	I	Okay.	fear	neutral	neutral	negative	neutral	neutral
Ross	Paul	[0.722, 0.489, 0.6, 0.533, 0.356]	Umm, but I think if you give me umm, one chance I can, I can change your mind.	Okay.	What?	fear	neutral	neutral	negative	neutral	neutral
Joey	The Dry Cleaner	[0.574, 0.614, 0.297, 0.545, 0.455]	Oh well, it s not on TV yet.	Well, then it s not on the wall yet.	Okay, fine, I will bring you a tape, huh?	neutral	neutral	neutral	neutral	neutral	neutral
Phoebe	Monica	[0.6, 0.48, 0.31, 0.46, 0.56]	Oh yeah, I'm sure.  And all of a sudden his hands weren't the problem anymore.	Was it...?	Oh, boy scouts could have camped under there.	neutral	surprise	neutral	neutral	positive	neutral
Phoebe	Rachel	[0.6, 0.48, 0.31, 0.46, 0.56]	Oh, boy scouts could have camped under there.	"""Ooo,"" what?"	Uma Thurman.	neutral	surprise	neutral	neutral	positive	neutral
Ross	Chandler	[0.722, 0.489, 0.6, 0.533, 0.356]	Thanks Rach.	So what are you gonna do?	You have to tell her!	neutral	surprise	joy	neutral	positive	positive
Chandler	Phoebe	[0.648, 0.375, 0.386, 0.58, 0.477]	Yeah, right here in my pocket.  Pheebs?	Oh! Oop!	Okay, now will you guys get out of here? I want this is to be a surprise and she s gonna know.	neutral	surprise	neutral	neutral	positive	neutral
Monica	Chandler	[0.713, 0.457, 0.457, 0.66, 0.511]	Hi guys.	You are beautiful.	Oh, thank you!   What s going on?	neutral	joy	joy	neutral	positive	positive
Rachel	Ross	[0.635, 0.354, 0.521, 0.552, 0.469]	Now, I'm just letting you know that this is	Yep! That's hilarious!	I'm sorry. I'm done. I'm done.	neutral	joy	neutral	neutral	positive	neutral
Ross	Rachel	[0.722, 0.489, 0.6, 0.533, 0.356]	Yep! That's hilarious!	I'm sorry. I'm done. I'm done.	Y'know, last night was embarrassing for you too.	joy	neutral	neutral	positive	neutral	neutral
Rachel	Ross	[0.635, 0.354, 0.521, 0.552, 0.469]	I'm sorry. I'm done. I'm done.	Y'know, last night was embarrassing for you too.	No, not really. I mean you've seen me naked hundreds of times.	neutral	neutral	neutral	neutral	neutral	neutral
Ross	Rachel	[0.722, 0.489, 0.6, 0.533, 0.356]	Y'know, last night was embarrassing for you too.	No, not really. I mean you've seen me naked hundreds of times.	Uh-huh. But it was a first for the rest of my building.	neutral	neutral	neutral	neutral	neutral	neutral
Rachel	Ross	[0.635, 0.354, 0.521, 0.552, 0.469]	No, not really. I mean you've seen me naked hundreds of times.	Uh-huh. But it was a first for the rest of my building.	Okay. All right, that's true! But y'know I just don't embarrass that easily.	neutral	neutral	neutral	neutral	neutral	neutral
Ross	Rachel	[0.722, 0.489, 0.6, 0.533, 0.356]	Uh-huh. But it was a first for the rest of my building.	Okay. All right, that's true! But y'know I just don't embarrass that easily.	What?! You totally get embarrassed!	neutral	neutral	surprise	neutral	neutral	positive
Rachel	Ross	[0.635, 0.354, 0.521, 0.552, 0.469]	Okay. All right, that's true! But y'know I just don't embarrass that easily.	What?! You totally get embarrassed!	No, I don't! Ross, I think I'm just a more secure person than you are.	neutral	surprise	neutral	neutral	positive	neutral
Ross	Rachel	[0.722, 0.489, 0.6, 0.533, 0.356]	What?! You totally get embarrassed!	No, I don't! Ross, I think I'm just a more secure person than you are.	Is that so?	surprise	neutral	neutral	positive	neutral	neutral
Rachel	Ross	[0.635, 0.354, 0.521, 0.552, 0.469]	No, I don't! Ross, I think I'm just a more secure person than you are.	Is that so?	Yeah.	neutral	neutral	neutral	neutral	neutral	neutral
Ross	Rachel	[0.722, 0.489, 0.6, 0.533, 0.356]	Is that so?	Yeah.	Hey lady! I don't care how much you want it! Okay?! I am	neutral	neutral	disgust	neutral	neutral	negative
Chandler	Joey	[0.648, 0.375, 0.386, 0.58, 0.477]	Thanks man.	I gotta go check something over here.	What a baby.	neutral	neutral	sadness	neutral	neutral	negative
Monica	Joey	[0.713, 0.457, 0.457, 0.66, 0.511]	Okay, we have a lot of options here, a number of prototypes for you to try on.	Wow! This looks great!	Yeah! Okay, this one is a mushroom cap.  Umm, this one is made of bologna.	neutral	joy	joy	neutral	positive	positive
Joey	Monica	[0.574, 0.614, 0.297, 0.545, 0.455]	Wow! This looks great!	Yeah! Okay, this one is a mushroom cap.  Umm, this one is made of bologna.	And-and-and-and-and the toothpicks?	joy	joy	disgust	positive	positive	negative
Monica	Chandler	[0.713, 0.457, 0.457, 0.66, 0.511]	You kissed another woman!	Call it even?!	Okay!	anger	neutral	joy	negative	neutral	positive
Ross	Phoebe	[0.722, 0.489, 0.6, 0.533, 0.356]	Well, I m gonna go get these  in some water.	Wait you stole those from these people s wedding?	No-no, I took them from the hotel lobby.	neutral	surprise	neutral	neutral	positive	neutral
Joey	Kate	[0.574, 0.614, 0.297, 0.545, 0.455]	Yeah.	I think my character s gonna need a little bit more of reason than that.	Oh, hey, how about this one.	neutral	neutral	neutral	neutral	neutral	neutral
Joey	Kate	[0.574, 0.614, 0.297, 0.545, 0.455]	Y'know ah, I-I don t know why my character likes you either, I mean it says in the script here that you re a bitch.	It doesn t say that in the script.	It does in mine!	anger	anger	anger	negative	negative	negative
Joey	Monica	[0.574, 0.614, 0.297, 0.545, 0.455]	Yeah! Ask them if they brought their friends any souvenirs!	Hello?  Eighth street deli?	Hey, hang up! You get food poisoning just talkin  to that place.	joy	neutral	disgust	positive	neutral	negative
Monica	Joey	[0.713, 0.457, 0.457, 0.66, 0.511]	Hello?  Eighth street deli?	Hey, hang up! You get food poisoning just talkin  to that place.	Uh sorry, wrong number.	neutral	disgust	fear	neutral	negative	negative
Monica	Chandler	[0.713, 0.457, 0.457, 0.66, 0.511]	Uh sorry, wrong number.	Here you go.	Hello?   It s the deli again!	fear	neutral	surprise	negative	neutral	positive
Monica	Joey	[0.713, 0.457, 0.457, 0.66, 0.511]	Hello?   It s the deli again!	All right! I ll have a sandwich!	I don t think this number s right!	surprise	joy	sadness	positive	positive	negative
